Catalogo;Curso;NivelCurso;NomeCurso;LimiteMaximoCreditos;LimiteMinimoCreditos;LimiteMinimoCreditosEquacao;NumCreditosParaUsarEquacao;CoeficienteAplicadoCR;CRMedioTurma;TotalAlunosTrrma;DesvioPadrao
1976;32;T;Curso Superior de Tecnologia da Construção Civil - Edifícios                                                                                                    ;99;0;0;0;0,00;0,5726;29;0,1968
1976;33;T;Curso Superior de Tecnologia da Construção Civil - Obras de Solos                                                                                               ;99;0;0;0;0,00;0,6371;27;0,1602
1977;1;G;Matemática                                                                                                                                                      ;27;0;0;0;0,00;0,4491;68;0,2392
1977;2;G;Estatística                                                                                                                                                     ;30;0;0;0;0,00;0,4442;63;0,2291
1977;3;G;Ciência da Computação                                                                                                                                           ;30;0;0;0;0,00;0,6256;88;0,1814
1977;4;G;Física                                                                                                                                                          ;24;0;12;30;20,00;0,4655;67;0,2262
1977;5;G;Química                                                                                                                                                         ;32;0;0;0;0,00;0,4613;68;0,1972
1977;6;G;Ciências Biológicas                                                                                                                                             ;30;0;0;0;0,00;0,5263;49;0,2405
1977;8;G;Engenharia Agrícola                                                                                                                                             ;99;0;0;0;0,00;0,4387;33;0,2432
1977;9;G;Engenharia Química                                                                                                                                              ;30;0;0;0;0,00;0,5293;70;0,2132
1977;10;G;Engenharia Mecânica                                                                                                                                             ;27;0;0;0;0,00;0,5988;91;0,1710
1977;11;G;Engenharia Elétrica                                                                                                                                             ;31;0;16;30;30,00;0,6140;89;0,1853
1977;12;G;Engenharia Civil                                                                                                                                                ;30;0;0;0;0,00;0,5240;78;0,2049
1977;13;G;Engenharia de Alimentos                                                                                                                                         ;30;0;0;0;0,00;0,5287;83;0,2313
1977;14;G;Odontologia                                                                                                                                                     ;30;0;0;0;0,00;0,6724;82;0,1738
1977;15;G;Medicina                                                                                                                                                        ;99;0;0;0;0,00;0,6602;111;0,2011
1977;16;G;Ciências Sociais                                                                                                                                                ;28;0;0;0;0,00;0,5705;62;0,2152
1977;17;G;Ciências Econômicas                                                                                                                                             ;28;0;0;0;0,00;0,4812;87;0,2328
1977;18;G;Linguística                                                                                                                                                     ;28;0;0;0;0,00;0,5116;47;0,2322
1977;19;G;História                                                                                                                                                        ;28;0;0;0;0,00;0,4134;25;0,2155
1977;20;G;Pedagogia                                                                                                                                                       ;30;0;0;0;0,00;0,6213;41;0,2408
1977;31;T;Curso Superior de Tecnologia Sanitária                                                                                                                          ;99;0;0;0;0,00;0,5627;30;0,2121
1977;32;T;Curso Superior de Tecnologia da Construção Civil - Edifícios                                                                                                    ;99;0;0;0;0,00;;0;
1977;33;T;Curso Superior de Tecnologia da Construção Civil - Obras de Solos                                                                                               ;99;0;0;0;0,00;;0;
1978;1;G;Matemática                                                                                                                                                      ;27;0;0;0;0,00;0,3680;64;0,1869
1978;2;G;Estatística                                                                                                                                                     ;30;0;0;0;0,00;0,4264;55;0,2118
1978;3;G;Ciência da Computação                                                                                                                                           ;30;0;0;0;0,00;0,6066;79;0,1838
1978;4;G;Física                                                                                                                                                          ;24;0;12;30;20,00;0,4427;62;0,2291
1978;5;G;Química                                                                                                                                                         ;32;0;0;0;0,00;0,5050;66;0,1791
1978;6;G;Ciências Biológicas                                                                                                                                             ;30;0;0;0;0,00;0,6023;50;0,2010
1978;7;G;Letras                                                                                                                                                          ;23;0;0;0;0,00;0,6841;21;0,1191
1978;8;G;Engenharia Agrícola                                                                                                                                             ;99;0;0;0;0,00;0,5213;31;0,1618
1978;9;G;Engenharia Química                                                                                                                                              ;30;0;0;0;0,00;0,5965;75;0,1495
1978;10;G;Engenharia Mecânica                                                                                                                                             ;27;0;0;0;0,00;0,5978;85;0,1458
1978;11;G;Engenharia Elétrica                                                                                                                                             ;31;0;16;30;30,00;0,6131;90;0,1722
1978;12;G;Engenharia Civil                                                                                                                                                ;30;0;0;0;0,00;0,5205;83;0,1667
1978;13;G;Engenharia de Alimentos                                                                                                                                         ;30;0;0;0;0,00;0,5789;82;0,1811
1978;14;G;Odontologia                                                                                                                                                     ;30;0;0;0;0,00;0,7145;88;0,1215
1978;15;G;Medicina                                                                                                                                                        ;99;0;0;0;0,00;0,6960;101;0,1389
1978;16;G;Ciências Sociais                                                                                                                                                ;28;0;0;0;0,00;0,5108;62;0,2481
1978;17;G;Ciências Econômicas                                                                                                                                             ;28;0;0;0;0,00;0,5118;81;0,1531
1978;18;G;Linguística                                                                                                                                                     ;23;0;0;0;0,00;0,3416;25;0,2595
1978;19;G;História                                                                                                                                                        ;28;0;0;0;0,00;0,5045;30;0,2290
1978;20;G;Pedagogia                                                                                                                                                       ;30;0;0;0;0,00;0,5956;54;0,2206
1978;21;G;Enfermagem                                                                                                                                                      ;36;0;0;0;0,00;0,6759;33;0,1845
1978;31;T;Curso Superior de Tecnologia Sanitária                                                                                                                          ;99;0;0;0;0,00;0,5528;30;0,2381
1978;32;T;Curso Superior de Tecnologia da Construção Civil - Edifícios                                                                                                    ;99;0;0;0;0,00;0,4371;31;0,2457
1978;33;T;Curso Superior de Tecnologia da Construção Civil - Obras de Solos                                                                                               ;99;0;0;0;0,00;0,4797;31;0,2506
1979;1;G;Matemática                                                                                                                                                      ;27;0;0;0;0,00;0,4904;69;0,2142
1979;2;G;Estatística                                                                                                                                                     ;30;0;0;0;0,00;0,4349;59;0,2274
1979;3;G;Ciência da Computação                                                                                                                                           ;30;0;0;0;0,00;0,5872;80;0,2130
