Disciplina;NivelDisciplina;AnoInicioPreRequisito;AnoFimPreRequisito;PreRequisito
CZ524;T;1993;;*CZ424
CZ531;T;1992;1992;CZ204  CZ402
CZ531;T;1993;;*CZ204 *CZ402
CZ532;T;1992;1992;CZ432
CZ532;T;1993;;*CZ432
CZ533;T;1992;1992;CZ433
CZ533;T;1993;;*CZ433
CZ534;T;1992;1992;CZ401
CZ534;T;1993;;*CZ401
CZ561;T;1992;1992;CZ262
CZ561;T;1993;;*CZ163 *CZ262
CZ562;T;1992;1992;CZ465
CZ562;T;1993;;*CZ462
CZ563;T;1992;1992;CZ463
CZ563;T;1993;;*CZ465
CZ564;T;1992;1992;CZ464
CZ564;T;1993;;*CZ464
CZ565;T;1992;1992;CZ463
CZ565;T;1993;;*CZ466
CZ566;T;1993;;*CZ461
CZ567;T;1993;1995;*CZ461
CZ567;T;1996;;CZ361
CZ611;T;1992;1992;CZ511
CZ611;T;1993;;*CZ511
CZ612;T;1992;1992;CZ413  CZ513
CZ612;T;1993;;*CZ413 *CZ513
CZ613;T;1992;1992;CZ304  CZ415
CZ613;T;1993;;*CZ304 *CZ415
CZ614;T;1992;1992;CZ411
CZ614;T;1993;;*CZ411
CZ615;T;1992;1992;CZ413  CZ513
CZ615;T;1993;;*CZ413 *CZ513
CZ621;T;1992;1992;CZ521
CZ621;T;1993;;*CZ521
CZ622;T;1992;1992;CZ321
CZ622;T;1993;;*CZ321
CZ623;T;1992;1992;CZ422  CZ524
CZ623;T;1993;;*CZ422 *CZ524
CZ624;T;1992;1992;CZ307  CZ523
CZ624;T;1993;;*CZ307 *CZ523
CZ631;T;1985;1991;*CZ532 *CZ533
CZ631;T;1992;1992;CZ532  CZ533
CZ631;T;1993;;*CZ532 *CZ533
CZ632;T;1985;1991;*CZ401 *CZ532
CZ632;T;1992;1992;CZ401  CZ532
CZ632;T;1993;;*CZ401 *CZ532
CZ661;T;1992;1992;CZ464
CZ661;T;1993;;*CZ561
CZ662;T;1992;1992;CZ461  CZ462  CZ561  CZ564
CZ662;T;1993;1993;*CZ562
CZ662;T;1994;;*CZ461 *CZ462 *CZ561 *CZ564
CZ663;T;1992;1992;CZ562
CZ663;T;1993;;*CZ563
CZ664;;1992;;
CZ665;T;1993;;*CZ463 *CZ563 *CZ566 *CZ567
DB102;;1985;;
DB103;;1990;;
DB104;;1990;;
DB105;;1990;;
DB106;;1990;;
DB109;;1990;;
DB122;;1985;;
DB131;;1981;;
DB202;;1985;;
DB203;;1990;;
DB204;;1990;;
DB207;;1990;;
DB208;;1990;;
DB209;;1990;;
DB222;;1985;;
DB231;;1981;;
DB241;;1981;;
DB301;;1990;;
DB351;;1981;;
DC041;G;2012;;DM033  DM035  DM036
DC051;G;2012;;DC041  DM041  DM045  DM046
DC061;G;2012;;DC051  DM051  DM052  DM057
DC071;G;2012;;DC061  DM067  DM068
DC081;G;2012;;DC071  DM074  DM078
DC091;G;2012;;DC081  DM084  DM083
DC101;G;2012;;DC091
DC501;G;1978;1979;DB102  DB122  DB202  DB222  DB241  DB351  DP101  DP201  DP312  DP321  DP421  DP431
DC501;G;1980;1981;DP101  DP201  DP312  DP321  DP421  DP431
DC501;G;1982;1982;DB131  DB231  DB241  DB351  DP101  DP201  DP312  DP321  DP421  DP431
DC501;G;1983;1983;DB241  DB351  DP421  DP431  DS201
DC501;G;1984;1984;DB131  DB231  DB241  DB351  DP101  DP201  DP312  DP321  DP421  DP431
DC501;G;1985;;DP101  DP201  DP312  DP321  DP421  DP431
DC502;G;1990;2004;DB103  DB104  DB105  DB106  DB109  DB203  DB204  DB207  DB208  DB209  DB301  DP101  DP201  DP312  DP321  DP421  DP431
DC502;G;2005;;DB106  DB109  DB110  DB209  DB210  DB301  DP101  DP201  DP312  DP321  DP421  DP431
DC601;G;1978;1979;DC501  DP512  DP521
DC601;G;1982;;DC501  DP512  DP521
DC601;;1980;1981;
DC602;G;1990;;DC502  DP512  DP521
DC701;G;1973;1975;DC601  DP612
DC701;G;1976;1979;DD551  DD621  DD651  DO621  DO631  DO651  DS641
DC701;G;1982;;DC601  DP612
DC701;;1980;1981;
DC702;G;1990;;DC602  DP612
DC801;G;1973;1979;DC701
DC801;G;1980;1981;AA200
DC801;G;1982;;DC701
DC802;G;1990;;DC702
DD241;G;1976;;DP101
DD301;G;1971;;DM101  DS201  DF101  DF111  DM211  DF221  DO201
DD311;G;1973;;DD101  DD201  DD111
DD321;G;1973;;DD101  DD111  DD201
DD411;G;1973;;DD311
DD421;G;1973;1973;DD321
DD421;G;1974;1975;DD301  DP301
DD421;G;1976;;DD321
DD511;G;1971;;DD411  DO411
DD521;G;1973;;DD411
DD531;G;1973;;DD421
DD551;G;1973;;DD421
DD621;G;1973;;DD521
DD631;G;1973;;DD531
DD651;G;1973;;DD551
DD721;G;1974;;DD621
DD731;G;1973;;DD631
DD732;G;1971;;DD631
DD821;G;1974;;DC701  DD721
DD831;G;1973;;DD731
DD832;G;1971;;DD732
DE091;G;2012;;DC081
DE101;G;2012;;DC091
DF201;G;1973;;DF101
DF241;G;1976;;DF141
DF311;G;1971;;DM101  DS201  DF101  DF111  DM211  DF221  DO201
DF321;G;1973;;DF211  DM211
DF331;G;1973;;DF211  DM211
DF351;G;1977;;DF241  DM221
DF421;G;1973;;DF321  DF331
DF431;G;1973;;DF321  DF331
DF451;G;1977;;DF351
DI501;G;1971;;DD301
DI511;G;1973;;DO461
DI601;G;1973;;DD521  DO461
DI611;G;1971;;DD421
DI701;G;1971;;DI501
DI702;G;1973;;DI601
DI711;G;1971;;DI611
DI712;G;1973;;DI511
DI801;G;1971;;DI501
DI802;G;1973;;DI702
DI811;G;1971;;DI611
DI812;G;1973;;DI712
DM021;G;2012;;DM011
DM031;G;2012;;DM021
DM033;G;2012;;DM013
DM034;G;2012;;DM024
DM041;G;2012;;DM031
DM042;G;2012;;DM022  DM032
DM045;G;2012;;DM035
DM046;G;2012;;DM013  DM032  DM036
DM051;G;2012;;DM041
DM052;G;2012;;DM042
DM067;G;2012;;DM057
DM074;G;2012;;DM034
DM078;G;2012;;DM068
DM083;G;2012;;DM033
DM084;G;2012;;DM074
DM221;G;1976;;DM121
DM311;G;1971;;DM101  DS201  DF101  DF111  DM211  DF221  DO201
DM321;G;1973;;DM211
DO101;G;2001;;AA200
DO102;G;2001;;AA200
DO102;;1998;2000;
DO103;G;2002;;AA200
DO104;G;2002;;AA200
DO105;G;2002;;AA200
DO106;G;2002;;AA200
DO107;G;2003;;AA200
DO108;G;1998;;AA200
DO109;G;1998;;AA200
DO110;G;2006;;AA200
DO111;G;2006;;AA200
DO112;G;2006;;AA200
DO113;G;2007;;AA200
DO114;G;2010;2012;AA200  DP512  DC502
DO114;G;2013;;AA200
DO115;G;2010;;AA200
DO116;G;2010;2010;AA200  DC502
DO116;G;2011;2012;AA200  DC602
DO116;G;2013;;AA200
DO118;G;2013;;AA200
DO119;G;2014;;AA200
DO120;G;2014;;AA200
DO121;G;2014;;AA200
DO202;G;2001;;AA200
DO205;G;2002;2012;AA200  DC702
DO205;G;2013;;AA200
DO206;G;2002;;AA200
DO209;G;1998;;AA200
DO210;G;2006;;AA200
DO211;G;2006;;AA200
DO215;G;2010;;AA200
DO216;G;2010;2010;AA200  DC602
DO216;G;2011;2012;AA200  DC602  DO116
DO216;G;2013;;AA200
DO218;G;2013;;AA200
DO221;G;2014;;AA200  DO121
DO301;G;1976;;DF321
DO302;G;2004;;AA200
DO311;G;1973;;DF101  DM121
DO401;G;1973;;DO301
DO402;G;2004;;AA200
DO411;G;1973;;DO311
DO421;G;1973;1973;DM321
DO421;G;1974;;DM321  DO311
DO461;G;1973;;DM321
DO501;G;1975;;DO401
DO521;G;1973;1974;DO421  DO461
DO521;G;1975;;DO421  DO441  DO461
DO531;G;1973;;DO411
DO551;G;1973;;DO441
DO561;G;1973;;DO461
DO571;G;1973;;DO461  DO411
DO601;G;1975;;DO401
DO621;G;1973;;DO521
DO631;G;1973;1973;DO561
DO631;G;1974;;DO531
DO641;G;1971;;DO531
DO651;G;1973;;DO551
DO661;G;1975;;DO561
DO671;G;1974;;DO571
DO722;G;1973;;DO621
DO732;G;1973;;DO631
DO752;G;1973;;DO651
DO822;G;1973;;DO722
DO832;G;1973;;DO631
DO852;G;1973;;DO651
DO861;G;1971;;DP511  DO641
DP101;;1981;;
DP201;;1981;;
DP301;G;1977;;DP101
DP312;;1981;;
DP321;G;2003;;DP101  DP201
DP321;;1981;2002;
DP401;G;1977;;DP201
DP411;G;1977;;DP201
DP421;G;2003;;DP312
DP421;;1981;2002;
DP431;G;1989;;DP312  DP321
DP431;;1980;1988;
DP511;G;1971;;DD421
DP512;G;1990;;DP431
DP512;;1980;1989;
DP521;G;2003;;DP431
DP521;;1982;2002;
DP611;G;1971;;DP511
DP612;G;1990;2002;DP512
DP612;G;2003;;DP512  DP521
DP612;;1980;1989;
DP711;G;1971;;DP611
DP712;;1981;;
DP721;G;1990;2002;DC602
DP721;G;2003;2008;DC602  DP612
DP721;G;2009;2009;DC602  DP612/ AA200
DP721;G;2010;;DC602  DP612
DP811;G;1971;;DP611
DS061;G;2012;;DC051
DS062;G;2012;;DC051
DS071;G;2012;;DS061
DS091;G;2012;;DS071
DS110;G;2000;;AA200
DS201;;1981;;
DS210;G;2000;;AA200  DS110
DS511;G;1976;1979;DO411  DS201
DS511;;1980;;
DS531;;1980;;
DS611;G;1976;1979;DS511
DS611;G;2003;2009;DC502/ DP431
DS611;G;2010;;DC502  DP431
DS611;;1973;1975;
DS611;;1980;2002;
DS621;G;1976;;DM211  DM321  DS531
DS641;G;1973;;DO571
DS711;G;1973;;DS611
DS721;;1980;;
DS731;;1982;;
DS732;G;2006;2008;DC602
DS732;G;2009;2009;DC602/ AA200
DS732;G;2010;;DC602
DS732;;2004;2005;
DS811;G;1973;;DS611
DS812;G;1973;;DS711
DS821;;1982;;
DS832;G;2006;;DS732
DS832;;2004;2005;
DS841;;1982;;
DS842;G;2003;;DC502
DS842;;1990;2002;
DS851;;1990;;
EA001;G;1976;1979;EA721  AA200
EA001;G;1980;1980;*AA200 *EA721
EA001;G;1981;1981;AA200 *EA721
EA001;G;1982;1982;AA200
EA001;G;1983;1987;AA200 *EA721
EA001;G;1988;1989;AA200  EA721
EA001;G;1990;2002;AA460
EA001;G;2003;;AA200  AA460
EA002;G;1981;;AA200
EA003;G;1976;2002;AA200
EA003;G;2003;;AA200  EA002
EA004;G;1981;2002;AA200
EA004;G;2003;;AA200  EA003
EA005;G;1981;2002;AA200
EA005;G;2003;;AA200  EA004
EA006;G;1981;2005;AA200
EA006;G;2006;;AA200  AA480
EA007;G;1990;;AA200  AA475
EA008;G;1990;;AA200  EA007
EA009;G;1991;;AA200
EA010;G;1991;;AA200
EA011;G;1991;;AA200
EA012;G;2000;2002;AA460
EA012;G;2003;;AA200  AA460
EA025;G;1975;;EA721
EA030;G;1980;1980;*EA932 *EA877
EA030;G;1981;1984;*EA877 *EA932
EA030;G;1985;1987;*EA721 *EA869
EA030;G;1988;1993;EA721  EA869
EA030;G;1994;2000;EA721  EA869/ AL003  EA721
EA030;G;2001;;EA721  EA869
EA031;G;1980;1983;*EE831
EA031;G;1984;1984;*EA721
EA031;G;1985;1987;*EA721 *EA869 *EE831
EA031;G;1988;;EA721  EA869  EE831
EA032;G;1984;1984;*EA721
EA032;G;1985;1987;*EA721 *EA869 *EE831
EA032;G;1988;;EA721  EA869  EE831
EA035;G;1974;1975;EA925/ EA826
EA035;G;1976;;EA721
EA042;G;1973;1975;*MA301/*MA303/*MS210
EA042;G;1980;1980;*MA301/ MA210
EA042;G;1981;1987;*MA301/*MS210
EA042;G;1988;1988;MA211/ MA301/ MS210
EA042;G;1989;;MA211/ MS210/ MA251
EA042;;1976;1979;
EA043;G;1991;1999;EA042/ AA200
EA043;G;2000;;AA200/ EA044
EA044;G;1999;2009;MA211/ MS210/ MA251
EA044;G;2010;;MA211/ MS210/ MA251  MA327
EA051;G;1975;1976;*MC111
EA051;G;1977;1979;EA950
EA051;G;1980;1980;*MC111/ MA325
EA051;G;1981;1986;*MC111/*MA325
EA051;G;1987;1987;*MA325/*MC100 *MC101
EA051;G;1988;1993;MA325/ MC100  MC101
EA051;G;1994;;MA327  ME203
EA052;G;1975;1975;HE781
EA052;G;1976;1976;EA951
EA052;G;1980;1984;*HE738
EA052;G;1985;1988;*CE738
EA052;G;1989;;CE738
EA052;;1977;1979;
EA055;G;1975;1976;*EA826 *EA950
EA055;G;1977;1979;EA826  EA950
EA055;G;1980;1987;*EA826 *EA950
EA055;G;1988;;EA826  EA950
EA060;G;1975;1979;EA869
EA060;G;1980;1983;*EA772
EA060;G;1984;1984;AA200 *EA772
EA060;G;1985;1987;AA200 *EA877
EA060;G;1988;1988;AA200/ EA772  MC100/ EA772  MC111
EA060;G;1989;1993;EA772  MC100
EA060;G;1994;1996;EA772  MC100/ AL001  MC100
EA060;G;1997;2000;EA772  MC102/ AL001  MC102
EA060;G;2001;;EA772  MC102
EA061;G;1984;1984;AA200 *EA772
EA061;G;1985;1987;AA200 *EA877
EA061;G;1988;1988;AA200  EA877
EA061;G;1989;;EA772  MC100
EA070;G;1974;;EA869  EA870
EA071;G;1987;1987;*EA877
EA071;G;1988;1993;EA877
EA071;G;1994;2009;MC504  MC722/ EA078  EA876/ EA078  EA877
EA071;G;2010;;MC504  MC722/ EA075  EA876/ EA075  EA877
EA072;G;1987;1987;*EA877
EA072;G;1988;1993;EA877
EA072;G;1994;2000;MC600
EA072;G;2001;2001;MC600/ EA876
EA072;G;2002;2003;EA876/ MC600
EA072;G;2004;;EA876/ MC336
EA073;G;1973;;EA972
EA074;G;1999;2005;EA876/ EA877/ MC504
EA074;G;2006;;EA876/ EA877/ MC504/ EA879
EA075;G;2010;;EA869/ MC404
EA076;G;2010;;EA075  EA773  EA871/ EA078  EA773  EA870
EA077;G;1971;;EA976
EA078;G;1974;1975;*EA869 *EA870
EA078;G;1976;1979;EA869
EA078;G;1980;1987;*EA869 *EA870
EA078;G;1988;1988;EA869  EA870
EA078;G;1989;1989;EA877
EA078;G;1990;2000;EA869
EA078;G;2001;;EA869/ MC404
EA079;G;1974;1975;*EA869 *EA870/*EA869 *EA078
EA079;G;1978;1982;*EA870/*EA078
EA079;G;1983;1987;*EA869 *EA870/*EA078 *EA869
EA079;G;1988;1988;EA869  EA870/ EA078  EA869
EA079;G;1989;1993;EA870  EA877
EA079;G;1994;1995;EA773  EA870/ EE105/ EE205  EE207
EA079;G;1996;1996;EA773  EA870
EA079;G;1997;2000;EA773  EA870/ AL002  AL007
EA079;G;2001;2003;EA773  EA870
EA079;G;2004;;EA078  EA773  EA870
EA079;;1976;1977;
EA080;G;2011;;EA074
EA081;G;1976;1979;AA200/ EA617  EA869
EA081;G;1980;1987;*EA869
EA081;G;1988;;EA869
EA082;G;1990;1993;EA877/ EA876/ MC504
EA082;G;1994;2005;EA876/ EA877/ MC504
EA082;G;2006;;EA876/ EA877/ EA879/ MC504
EA085;G;2001;;EA721
EA086;G;2001;;EA721
EA087;G;2001;;EA721
EA092;G;1984;1987;*EA721
EA092;G;1988;;EA721
EA093;G;1973;1975;*EA721
EA093;G;1976;1979;EA721
EA093;G;1980;1987;*EA721
EA093;G;1988;;EA721
EA094;G;1973;1974;EA721
EA094;G;1975;1975;EA721  EA820
EA094;G;1976;;EA721
EA095;G;1974;;EA995
EA097;G;1980;1980;*EA997
EA097;G;1981;1981;*EA616 *EE721
EA097;G;1982;1987;*EA997/ AA200
EA097;G;1988;;EA997/ AA200
EA098;G;1977;1979;EA869
EA098;G;1980;1986;*EA869
EA098;G;1987;1987;*EA869/*EA870
EA098;G;1988;1988;EA869/ EA870
EA098;G;1989;;AA200
EA099;G;1995;;AA200
EA205;G;1971;;MC111
EA513;G;1975;1975;*MA111
EA513;G;1980;1987;*MA101
EA513;G;1988;1993;MA111
EA513;G;1994;;MA111/ MA151
EA513;;1976;1979;
EA610;G;1971;;EA510
EA611;G;2001;;EA513
EA612;G;1975;1975;*EA513
EA612;G;1976;1979;EA513
EA612;G;1980;1987;*EA513
EA612;G;1988;1988;EA513
EA612;G;1989;;EA513  MA311
EA613;G;1980;1987;*EA513
EA613;G;1988;;EA513
EA614;G;2001;;EE400
EA615;G;1971;;EA510
EA616;G;1974;1975;*EE400/*EE620/*MS510
EA616;G;1976;1976;EA513
EA616;G;1977;1979;EA617
EA616;G;1980;1980;*MA401/*MA503/*EM400
EA616;G;1981;1981;*EE400
EA616;G;1982;1987;*EE400/*EE620/*MS510
EA616;G;1988;1988;EE400/ EE620/ MS510
EA616;G;1989;1989;EE400  MA311/ EE620  MA311/ MA311  MS519
EA616;G;1990;1992;EE400  MA311/ EE620/ MS510
EA616;G;1993;2000;EA612  EE400
EA616;G;2001;2009;EA513  EA614
EA616;G;2010;;EA513  EA614  MA327
EA617;G;1974;1975;*EE400/*EE620/*MS510
EA617;G;1980;1980;*MA401/ MA503/ EM400
EA617;G;1981;1981;*EE400
EA617;G;1982;1987;*EE400/*EE620/*MS510
EA617;G;1988;1988;EE400/ EE620/ MS510
EA617;G;1989;1989;EE400  MA311/ EE620/ MS510
EA617;G;1990;;EE400  MA311/ EE620/ MS510/ EE320  EE321
EA617;;1976;1979;
EA618;G;1974;;MA401  MA501
EA619;G;2001;;EA513  EA614
EA717;G;1980;1980;*EQ502
EA717;G;1981;1985;*EQ502 *EQ541
EA717;G;1986;1986;*EA616/*EQ502 *EQ541
EA717;G;1987;1987;*EQ502 *EQ541
EA717;G;1988;1988;EA616/ EQ502  EQ541
EA717;G;1989;1989;EQ502  EQ541/ EA616
EA717;G;1990;;EA616/ EQ502  EQ541
EA721;G;1974;1976;*EQ502 *EQ541
EA721;G;1977;1979;EA616
EA721;G;1980;1984;*EA616
EA721;G;1985;1985;*EA616/*EQ502
EA721;G;1986;1987;*EA616
EA721;G;1988;;EA616
EA722;G;1973;1975;*EA616 *EA617
EA722;G;1980;1981;*EA616
EA722;G;1982;1987;*EA616 *EA617
EA722;G;1988;1993;EA616  EA617
EA722;G;1994;1995;EA616  EA617/ EA616  EE105/ EA616  EE205  EE207
EA722;G;1996;2000;EA616  EA617
EA722;G;2001;;EA616  EA619
EA722;;1976;1979;
EA750;G;1971;;EA615/ EE601/ EE761
EA751;G;1974;;EA615/ EE601/ EE761/ EA616/ EA610/ ET610/ EE611/ EE811/ ET510
EA770;G;1971;;MA401
EA772;G;1976;1979;EA513
EA772;G;1980;1984;*EA513
EA772;;1985;;
EA773;G;1980;1984;*EA513
EA773;G;1989;1989;EA772  ET512
EA773;G;1990;;EA772
EA773;;1985;1988;
EA820;G;1971;;EA615/ EE601/ EE761
EA826;G;1974;1975;*EA721
EA826;G;1976;1979;EA721
EA826;G;1980;1987;*EA721
EA826;G;1988;;EA721
EA855;G;1971;;EA750/ EE724/ EE811
EA869;G;1974;1975;*EA772
EA869;G;1976;1979;EA772
EA869;G;1980;1987;*EA772
EA869;G;1988;2005;EA772
EA869;G;2006;;EA772  MC102
EA870;G;1974;1975;*EA772
EA870;G;1980;1987;*EA772
EA870;G;1988;1988;EA772
EA870;G;1989;1989;EA773  EA869
EA870;G;1990;1993;EA869
EA870;G;1994;2000;EA869/ AL003
EA870;G;2001;;EA869/ MC404
EA870;;1976;1979;
EA871;G;2010;;EA869/ MC404
EA872;G;2010;;EA877/ EA876/ EA879
EA876;G;1993;1993;EA869/ MC404
EA876;G;1994;2000;EA869/ MC404/ AL003
EA876;G;2001;;EA869/ MC404
EA877;G;1980;1987;*EA078
EA877;G;1988;1988;EA078
EA877;G;1989;;EA869
EA878;G;1985;1987;*EA078
EA878;G;1988;1988;EA078
EA878;G;1989;1989;AA200  EA877
EA878;G;1990;2005;EA877/ EA876
EA878;G;2006;;EA877/ EA876/ EA879
EA879;G;2006;;EA869
EA900;G;1995;;AA460
EA900;;1981;1994;
EA916;G;1973;1975;*EA616
EA916;G;1976;1976;EA721
EA916;G;1977;1979;EA616
EA916;G;1980;1987;*EA616
EA916;G;1988;;EA616
EA917;G;1989;;EA612
EA925;G;1971;;EA820
EA930;G;1973;;EA721
EA931;G;1974;1976;*EA721
EA931;G;1980;1983;*EA826
EA931;G;1984;1987;*EA721
EA931;G;1988;;EA721
EA931;;1977;1979;
EA932;G;1977;1979;EA721
EA932;G;1980;1984;*EA826
EA932;G;1985;1987;*EA721
EA932;G;1988;;EA721
EA935;G;1980;1984;*EA932
EA935;G;1985;1987;*EA721 *EA869
EA935;G;1988;;EA721  EA869
EA936;G;1985;1987;*EA721 *EA869
EA936;G;1988;;EA721  EA869
EA950;G;1975;1975;MC111
EA950;G;1976;1976;EA721  MC111  ME391/ MA325
EA950;G;1977;1979;MC111  ME203/ MA325  MC111
EA950;G;1980;1980;*MC111/ MA325
EA950;G;1981;1986;*MC111/*MA325
EA950;G;1987;1987;*MC111/*MA325/*MC100 *MC101
EA950;G;1988;;MA325/ MC100  MC101
EA951;G;1975;1976;*ME203
EA951;G;1977;1979;ME203
EA951;G;1980;1987;*ME203
EA951;G;1988;;ME203
EA952;G;1980;1987;*ME203
EA952;G;1988;;ME203
EA953;G;1991;1992;MC100  MC101/ MA325
EA953;G;1993;1996;MC100  MC101/ MA327
EA953;G;1997;;MC102/ MA327
EA954;G;1999;;MC102/ MA327
EA955;G;1980;1984;*EA826
EA955;G;1985;1987;*EA826/ AA200
EA955;G;1988;;EA826/ AA200
EA960;G;1975;1975;*EA869
EA960;G;1976;1979;EA869
EA960;G;1980;1981;*EA060
EA960;G;1982;1982;EA869
EA960;G;1983;1983;*EA060
EA960;G;1984;1987;AA200 *EA060
EA960;G;1988;1988;AA200  EA060
EA960;G;1989;1989;EA869  EA877
EA960;G;1990;2005;EA876/ EA877/ MC504
EA960;G;2006;;EA876/ EA877/ EA879/ MC504
EA962;G;1984;1987;AA200 *EA060
EA962;G;1988;1988;AA200  EA060
EA962;G;1989;1989;AA200  EA877
EA962;G;1990;2005;EA877/ EA876
EA962;G;2006;;EA877/ EA876/ EA879
EA972;G;1973;1974;EA770
EA972;G;1975;;EA869
EA975;G;2010;;EA976/ MC436
EA976;G;1973;1983;*EA877
EA976;G;1984;1987;AA200 *EA877
EA976;G;1988;1989;AA200  EA877
EA976;G;1990;1996;EA877/ MC220
EA976;G;1997;1998;EA877/ MC202
EA976;G;1999;1999;EA877/ MC202/ EA876
EA976;G;2000;2005;EA877/ EA876/ MC202
EA976;G;2006;;EA877/ EA876/ EA879/ MC202
EA977;G;1984;1987;AA200 *EA877
EA977;G;1988;1988;AA200  EA877
EA977;G;1989;1989;AA200
EA977;G;1990;2003;EA976/ MC426
EA977;G;2004;;EA976/ MC436
EA978;G;1980;1987;*EA877
EA978;G;1988;1989;EA877
EA978;G;1990;2005;EA877/ EA876/ MC504
EA978;G;2006;;EA877/ EA876/ EA879/ MC504
EA979;G;2009;;EA877/ EA876/ EA879/ MC504
EA981;G;1973;1975;*MS211 *EA617
EA981;G;1976;1976;EA721  MC111  ME391
EA981;G;1977;1979;EA617  MS211
EA981;G;1980;1980;*EA617
EA981;G;1981;1987;*EA617 *MS211
EA981;G;1988;;MS211  EA617
EA990;G;2010;;AA200
EA991;G;2010;;AA200
EA992;G;1984;1987;*EA721
EA992;G;1988;;EA721
EA993;G;1973;1975;*EA721
EA993;G;1976;1979;EA721
EA993;G;1980;1987;*EA721
EA993;G;1988;;EA721
EA994;G;1973;1974;EA820
EA994;G;1975;;EA721
EA995;G;1976;1976;EA721
EA995;G;1977;1979;EA616
EA995;;1980;;
EA996;G;1974;1975;*EA721
EA996;G;1976;1979;EA721
EA996;G;1980;1987;*EA721
EA996;G;1988;;EA721
EA997;G;1975;1975;*EA616 *EA721 *EE724
EA997;G;1976;1979;EA721
EA997;G;1980;1980;*EA721 *EA869 *EE721
EA997;G;1981;1981;*EA721
EA997;G;1982;1984;*EA616 *EA721 *EE721
EA997;G;1985;1987;*EA616 *EE721 *EA721
EA997;G;1988;1989;EA616  EA721  EE721
EA997;G;1990;1990;EA721  EE724
EA997;G;1991;2006;EA513/ AA440
EA997;G;2007;;EA513/ AA450
EA998;G;1977;1979;EA869
EA998;G;1980;1986;*EA869
EA998;G;1987;1987;*EA869/*EA870
EA998;G;1988;1988;EA869/ EA870
EA998;G;1989;;AA200
EA999;G;1995;1997;AA200
EA999;G;1998;1999;EA876/ EA877
EA999;G;2000;;AA200
EB201;G;2013;;EB101
EB203;G;2013;;EB103
EB204;G;2013;;EB104
EB206;G;2013;;EB103
EB207;G;2013;;EB105
EB301;G;2013;;EB201
EB304;G;2013;;EB202
EB305;G;2013;;EB202
EB402;G;2013;;EB301
EB403;G;2013;;EB301
EB405;G;2013;;EB201  EB203
EB406;G;2013;;EB201  EB302
EB407;G;2013;;EB106
EB501;G;2013;;EB402
EB502;G;2013;;EB303
EB503;G;2013;;EB101  EB404
EB504;G;2013;;EB201  EB405
EB505;G;2013;;EB105
EB506;G;2013;;EB207
EB601;G;2013;;EB501
EB602;G;2013;;EB402
EB604;G;2013;;EB304
EB605;G;2013;;EB106
EB606;G;2013;;EB304  EB404
EB701;G;2013;;EB304  EB404
EB702;G;2013;;EB501  EB601
EB703;G;2013;;AA400
EB704;G;2013;;AA400
EB705;G;2013;;AA430
EB706;G;2013;;AA400
EB801;G;2013;;EB502
EB803;G;2013;;EB605
EB804;G;2013;;EB501  EB601
EB805;G;2013;;EB701
EB901;G;2013;;EB302  EB406
EB902;G;2013;;AA460
EB903;G;2013;;EB605  EB606  EB803
EB904;G;2013;;EB605  EB606
EB905;G;2013;;AA465
EB906;G;2013;;AA465
EB907;G;2013;;EB602
EB910;G;2013;;EB905
EB920;G;2013;;AA440
EB930;G;2013;;AA470
EC001;G;1980;;EC804
EC002;G;1973;1975;EC702
EC002;G;1976;;EC702 *EC704
EC003;G;1973;1976;EC508  EC509
EC003;G;1977;1979;EC505  EC506
EC003;G;1980;1982;EC508  EC509
EC003;G;1983;;*EC709
EC004;G;1974;1975;*EC800
EC004;G;1976;1976;EC902
EC004;G;1977;1979;EC800  EC902
EC004;G;1980;1980;EC301 *EC406
EC004;G;1981;1987;*EC800
EC004;G;1988;1988;EC800
EC004;G;1989;;*EC800
EC005;G;1976;1981;EC904
EC005;G;1983;1983;EC607
EC005;;1982;1982;
EC005;;1984;;
EC006;G;1976;1979;EC804  EC905
EC006;G;1980;;EC905
EC007;G;1976;1979;EC804  EC905
EC007;G;1980;;EC800
EC008;G;1980;;*EC902
EC009;G;1983;1983;EC607
EC009;;1981;1982;
EC009;;1984;;
EC011;G;1976;1979;EC702  EC823
EC011;G;1981;1985;*EC702 *EC823
EC011;G;1986;1992;*EC702 *EC823/ AA470
EC011;G;1993;1994;EC716 *EC802 *EC823/ AA470
EC011;G;1995;;AA470
EC011;;1980;1980;
EC012;G;1976;1979;EC911
EC012;G;1980;1992;EC611  EC818
EC012;G;1993;;EC517  EC617  EC818
EC013;G;1976;1979;EC911
EC013;G;1980;1981;EC018  EC611
EC013;G;1982;1992;EC611 *EC018
EC013;G;1994;;EC517  EC617 *EC935
EC013;;1993;1993;
EC014;G;1977;1979;EC911
EC014;G;1980;1985;*EC818
EC014;G;1986;1987;*EC818/ EC811/ EC805
EC014;G;1988;1988;EC818/ EC811/ EC805
EC014;G;1989;1989;*EC818/ EC811/ EC805
EC014;G;1990;1990;*EC818
EC014;G;1991;;EC818/ EC811/ EC805
EC015;G;1980;;EC511
EC016;G;1980;;EC811
EC017;G;1980;;EC811
EC018;G;1980;1983;EC611
EC018;G;1984;1985;EC411  EC611
EC018;G;1986;;EC411 *EC611
EC019;G;1980;;EC811
EC021;G;1973;1975;EC822
EC021;G;1976;1983;EC722
EC021;G;1984;1992;EC822
EC021;G;1993;;EC022  EC528  EC828
