Catalogo;Curso;NivelCurso;Disciplina
1967;13;G;TA036
1967;13;G;TA414
1967;13;G;TA511
1967;13;G;TA518
1967;13;G;TA532
1967;13;G;TA612
1967;13;G;TA613
1967;13;G;TA617
1967;13;G;TA618
1967;13;G;TA621
1967;13;G;TA624
1967;13;G;TA633
1967;13;G;TA713
1967;13;G;TA718
1967;13;G;TA724
1967;13;G;TA733
1967;13;G;TA818
1967;13;G;TA820
1967;13;G;TA821
1967;13;G;TA823
1967;13;G;TA825
1967;13;G;TA834
1967;13;G;TA921
1967;13;G;TA922
1967;13;G;TA923
1967;13;G;TA924
1967;13;G;TA925
1967;13;G;TA928
1967;13;G;TA934
1967;13;G;TA937
1967;15;G;MD511
1968;1;G;F 101
1968;1;G;F 102
1968;1;G;F 201
1968;1;G;F 202
1968;1;G;F 301
1968;1;G;F 302
1968;1;G;F 311
1968;1;G;F 401
1968;1;G;F 402
1968;1;G;F 411
1968;1;G;H 201
1968;1;G;M 701
1968;1;G;M 703
1968;1;G;M 704
1968;1;G;M 705
1968;1;G;M 801
1968;1;G;M 803
1968;1;G;M 804
1968;1;G;M 805
1968;1;G;MA101
1968;1;G;MA141
1968;1;G;MA142
1968;1;G;MA201
1968;1;G;MA241
1968;1;G;MA301
1968;1;G;MA325
1968;1;G;MA401
1968;1;G;MA411
1968;1;G;MA501
1968;1;G;MA502
1968;1;G;MA599
1968;1;G;MA601
1968;1;G;MA602
1968;1;G;MA604
1968;1;G;MA651
1968;1;G;MA699
1968;1;G;MA702
1968;1;G;MA733
1968;1;G;MA751
1968;1;G;MA806
1968;1;G;MA807
1968;1;G;MA831
1968;1;G;MA833
1968;1;G;MC111
1968;1;G;ME203
1968;1;G;MS211
1968;1;G;PB701
1968;1;G;PB801
1968;1;G;Q 101
1968;1;G;Q 102
1968;1;G;Q 201
1968;1;G;Q 202
1968;3;G;F 101
1968;3;G;F 102
1968;3;G;F 201
1968;3;G;F 202
1968;3;G;M 513
1968;3;G;M 631
1968;3;G;M 816
1968;3;G;MA101
1968;3;G;MA141
1968;3;G;MA201
1968;3;G;MA301
1968;3;G;MA325
1968;3;G;MA401
1968;3;G;MA501
1968;3;G;MC111
1968;3;G;MC312
1968;3;G;MC417
1968;3;G;MC517
1968;3;G;MC612
1968;3;G;MC617
1968;3;G;MC717
1968;3;G;MC812
1968;3;G;MC817
1968;3;G;ME203
1968;3;G;ME491
1968;3;G;MS211
1968;3;G;MS415
1968;3;G;MS511
1968;3;G;MS515
1968;3;G;MS611
1968;3;G;MS613
1968;3;G;PB701
1968;3;G;PB801
1968;4;G;F 101
1968;4;G;F 102
1968;4;G;F 201
1968;4;G;F 202
1968;4;G;F 301
1968;4;G;F 302
1968;4;G;F 311
1968;4;G;F 401
1968;4;G;F 402
1968;4;G;F 411
1968;4;G;F 502
1968;4;G;F 531
1968;4;G;F 540
1968;4;G;F 552
1968;4;G;F 631
1968;4;G;F 662
1968;4;G;F 809
1968;4;G;MA101
1968;4;G;MA141
1968;4;G;MA201
1968;4;G;MA221
1968;4;G;MA301
1968;4;G;MA303
1968;4;G;MA325
1968;4;G;MA401
1968;4;G;MA501
1968;4;G;MA601
1968;4;G;MC111
1968;4;G;MS211
1968;4;G;PB701
1968;4;G;PB801
1968;4;G;Q 101
1968;4;G;Q 102
1968;4;G;Q 201
1968;4;G;Q 202
1968;5;G;BB813
1968;5;G;F 101
1968;5;G;F 102
1968;5;G;F 201
1968;5;G;F 202
1968;5;G;F 301
1968;5;G;F 302
1968;5;G;F 401
1968;5;G;F 402
1968;5;G;H 201
1968;5;G;MA101
1968;5;G;MA141
1968;5;G;MA201
1968;5;G;MA302
1968;5;G;MC111
1968;5;G;PB701
1968;5;G;PB801
1968;5;G;Q 101
1968;5;G;Q 102
1968;5;G;Q 201
1968;5;G;Q 202
1968;5;G;Q 311
1968;5;G;Q 312
1968;5;G;Q 321
1968;5;G;Q 331
1968;5;G;Q 411
1968;5;G;Q 412
1968;5;G;Q 421
1968;5;G;Q 431
1968;5;G;Q 511
1968;5;G;Q 512
1968;5;G;Q 521
1968;5;G;Q 531
1968;5;G;Q 541
1968;5;G;Q 549
1968;5;G;Q 552
1968;5;G;Q 611
1968;5;G;Q 612
1968;5;G;Q 621
1968;5;G;Q 631
1968;5;G;Q 641
1968;5;G;Q 642
1968;5;G;Q 711
1968;5;G;Q 752
1968;5;G;Q 761
1968;5;G;Q 861
1968;10;G;EE781
1968;10;G;EH422
1968;10;G;EH510
1968;10;G;EH610
1968;10;G;EH620
1968;10;G;EH631
1968;10;G;EH720
1968;10;G;EH741
1968;10;G;EH744
1968;10;G;EH810
1968;10;G;EH841
1968;10;G;EH910
1968;10;G;EI901
1968;10;G;EM060
1968;10;G;EM070
1968;10;G;EM310
1968;10;G;EM410
1968;10;G;EM421
1968;10;G;EM523
1968;10;G;EM525
1968;10;G;EM530
1968;10;G;EM540
1968;10;G;EM550
1968;10;G;EM620
1968;10;G;EM623
1968;10;G;EM630
1968;10;G;EM632
1968;10;G;EM640
1968;10;G;EM660
1968;10;G;EM712
1968;10;G;EM721
1968;10;G;EM780
1968;10;G;EM810
1968;10;G;EM821
1968;10;G;EM835
1968;10;G;EM851
1968;10;G;EM880
1968;10;G;EM881
1968;10;G;EM950
1968;10;G;EM970
1968;10;G;EM971
1968;10;G;F 101
1968;10;G;F 102
1968;10;G;F 201
1968;10;G;F 202
1968;10;G;F 301
1968;10;G;F 302
1968;10;G;F 311
1968;10;G;F 401
1968;10;G;F 402
1968;10;G;F 411
1968;10;G;MA101
1968;10;G;MA141
1968;10;G;MA142
1968;10;G;MA201
1968;10;G;MA301
1968;10;G;MA501
1968;10;G;MC111
1968;10;G;ME203
1968;10;G;ME651
1968;10;G;MS211
1968;10;G;PB701
1968;10;G;PB801
1968;10;G;Q 101
1968;10;G;Q 102
1968;10;G;Q 201
1968;10;G;Q 202
1968;11;G;F 101
1968;11;G;F 102
1968;11;G;F 201
1968;11;G;F 202
1968;11;G;F 301
1968;11;G;F 302
1968;11;G;F 401
1968;11;G;F 402
1968;12;G;EC009
1968;12;G;EC011
1968;12;G;EC021
1968;12;G;EC022
1968;12;G;EC025
1968;12;G;EC142
1968;12;G;EC302
1968;12;G;EC306
1968;12;G;EC401
1968;12;G;EC402
1968;12;G;EC421
1968;12;G;EC504
1968;12;G;EC505
1968;12;G;EC507
1968;12;G;EC511
1968;12;G;EC512
1968;12;G;EC521
1968;12;G;EC523
1968;12;G;EC604
1968;12;G;EC605
1968;12;G;EC611
1968;12;G;EC612
1968;12;G;EC621
1968;12;G;EC623
1968;12;G;EC702
1968;12;G;EC704
1968;12;G;EC711
1968;12;G;EC712
1968;12;G;EC722
1968;12;G;EC723
1968;12;G;EC802
1968;12;G;EC804
1968;12;G;EC811
1968;12;G;EC812
1968;12;G;EC822
1968;12;G;EC823
1968;12;G;EC902
1968;12;G;EC904
1968;12;G;EC905
1968;12;G;EC906
1968;12;G;EC912
1968;12;G;EC924
1968;12;G;EC929
1968;12;G;F 101
1968;12;G;F 102
1968;12;G;F 201
1968;12;G;F 202
1968;12;G;F 301
1968;12;G;F 302
1968;12;G;F 311
1968;12;G;F 411
1968;12;G;MA101
1968;12;G;MA141
1968;12;G;MA142
1968;12;G;MA201
1968;12;G;MA221
1968;12;G;MA301
1968;12;G;MC111
1968;12;G;ME203
1968;12;G;MS211
1968;12;G;Q 101
1968;12;G;Q 102
1968;13;G;B 201
1968;13;G;EM212
1968;13;G;EM310
1968;13;G;EM422
1968;13;G;ET711
1968;13;G;F 101
1968;13;G;F 102
1968;13;G;F 201
1968;13;G;F 202
1968;13;G;F 301
1968;13;G;F 302
1968;13;G;F 401
1968;13;G;F 402
1968;13;G;MA101
1968;13;G;MA141
1968;13;G;MA142
1968;13;G;MA201
1968;13;G;MA302
1968;13;G;MC111
1968;13;G;ME203
1968;13;G;Q 101
1968;13;G;Q 102
1968;13;G;Q 201
1968;13;G;Q 202
1968;13;G;Q 311
1968;13;G;Q 312
1968;13;G;Q 313
1968;13;G;Q 314
1968;13;G;Q 322
1968;13;G;Q 324
1968;13;G;Q 331
1968;13;G;Q 411
1968;13;G;Q 412
1968;13;G;Q 413
1968;13;G;Q 414
1968;13;G;Q 424
1968;13;G;Q 431
1968;13;G;Q 511
1968;13;G;Q 512
1968;13;G;Q 521
1968;13;G;Q 522
1968;13;G;TA010
1968;13;G;TA025
1968;13;G;TA036
1968;13;G;TA414
1968;13;G;TA511
1968;13;G;TA518
1968;13;G;TA533
1968;13;G;TA612
1968;13;G;TA613
1968;13;G;TA617
1968;13;G;TA618
1968;13;G;TA621
1968;13;G;TA624
1968;13;G;TA633
1968;13;G;TA712
1968;13;G;TA713
1968;13;G;TA718
1968;13;G;TA724
1968;13;G;TA733
1968;13;G;TA818
1968;13;G;TA820
1968;13;G;TA821
1968;13;G;TA823
1968;13;G;TA825
1968;13;G;TA834
1968;13;G;TA921
1968;13;G;TA922
1968;13;G;TA923
1968;13;G;TA924
1968;13;G;TA925
1968;13;G;TA928
1968;13;G;TA934
1968;13;G;TA937
1969;1;G;F 101
1969;1;G;F 102
1969;1;G;F 201
1969;1;G;F 202
1969;1;G;F 301
1969;1;G;F 302
1969;1;G;F 311
1969;1;G;F 401
1969;1;G;F 402
1969;1;G;F 411
1969;1;G;M 701
1969;1;G;M 703
1969;1;G;M 704
1969;1;G;M 705
1969;1;G;MA101
1969;1;G;MA141
1969;1;G;MA142
1969;1;G;MA201
1969;1;G;MA241
1969;1;G;MA301
1969;1;G;MA325
1969;1;G;MA401
1969;1;G;MA411
1969;1;G;MA501
1969;1;G;MA599
1969;1;G;MA601
1969;1;G;MA602
1969;1;G;MA604
1969;1;G;MA651
1969;1;G;MA699
1969;1;G;MA702
1969;1;G;MA733
1969;1;G;MA751
1969;1;G;MA802
1969;1;G;MA806
1969;1;G;MA807
1969;1;G;MA831
1969;1;G;MA833
1969;1;G;MC111
1969;1;G;ME203
1969;1;G;MS211
1969;1;G;PB701
1969;1;G;PB801
1969;2;G;M 231
1969;2;G;M 333
1969;2;G;M 412
1969;2;G;M 431
1969;2;G;M 515
1969;2;G;M 533
1969;2;G;MA101
1969;2;G;MA141
1969;2;G;MA201
